e, e_dot, e_int, stamp, 
4.367632433033649, -0.06043643014015684, 0.8753435273772865, 60283000000, 
4.361484861800509, -0.05090751249814988, 0.8737249606922741, 60351000000, 
4.352163139218139, -0.051564312718367, 0.8720853622701531, 60453000000, 
4.34272682568179, -0.06252678706239578, 0.8704249884466958, 60555000000, 
4.333185467613746, -0.0632589053479767, 0.8685383621675783, 60657000000, 
4.323549210129344, -0.06392538517482116, 0.8666307668949919, 60759000000, 
4.317076815921399, -0.05369550564115736, 0.8649207662442993, 60827000000, 
4.307302162758555, -0.05415682456929657, 0.8631952125872865, 60929000000, 
4.29745712264182, -0.0653989775985971, 0.8614557400881182, 61031000000, 
4.287550282942958, -0.06583959938532224, 0.8594873045562221, 61133000000, 
4.2809150067729815, -0.05514038622946119, 0.8577281608238507, 61201000000, 
4.270919188023515, -0.05543698306481085, 0.8559589651826303, 61303000000, 
4.260878884340893, -0.06678707477362877, 0.8541808719424926, 61405000000, 
4.250765590234036, -0.06717865929826299, 0.8521709108398964, 61507000000, 
4.240646538638941, -0.06744115233983845, 0.850152734214258, 61609000000, 
4.233910318472133, -0.05618423920634422, 0.8483548298230074, 61677000000, 
4.223781049400914, -0.05621829746009036, 0.8465558604341327, 61779000000, 
4.213638725946218, -0.06757197508638235, 0.8447553395879509, 61881000000, 
4.206878980312551, -0.056340230294544824, 0.8429532503773122, 61949000000, 
4.196737528440593, -0.05633732501875007, 0.8411503489799574, 62051000000, 
4.186580476924012, -0.06766167796179741, 0.8393464657118104, 62153000000, 
4.176415619926035, -0.06773969504852613, 0.837315575019376, 62255000000, 
4.1696388184797515, -0.05647219481420033, 0.8355089943553198, 62323000000, 
4.159468320774143, -0.056490997172975455, 0.8337015172786619, 62425000000, 
4.149291806308929, -0.06782337390274229, 0.8318932630375215, 62527000000, 
4.139114826833113, -0.06784497980343158, 0.829858330261079, 62629000000, 
4.132332080205001, -0.056532420346426804, 0.8280492475564695, 62697000000, 
4.122160326500044, -0.05651500111023111, 0.8262404822358772, 62799000000, 
4.111992665095381, -0.06779805036539817, 0.8244323381200284, 62901000000, 
4.101832225391502, -0.06776033702847369, 0.8223990144657951, 63003000000, 
4.095064320039206, -0.056427816853918955, 0.8205926140350727, 63071000000, 
4.0849206076910995, -0.056372059001340936, 0.8187878102081204, 63173000000, 
4.074789136520385, -0.06758394506273468, 0.8169849376167128, 63275000000, 
